Date,GDP,Fed Funds Rate,US Unemployment Rate,InflationRate,S&P500 Growth Rate,,,,,,,,,,,,,,
12/31/2010,0.0256,0.0025,0.095,0.015,0.131813624,,,,,,,,,,,,,,
12/31/2011,0.0155,0.0025,0.0863,0.03,0.028063628,,,,,,,,,,,,,,
12/31/2012,0.0225,0.0025,0.078,0.017,0.123515418,,,,,,,,,,,,,,
12/31/2013,0.0184,0.0025,0.0693,0.015,0.303602905,,,,,,,,,,,,,,
12/31/2014,0.0245,0.0025,0.057,0.008,0.130127601,,,,,,,,,,,,,,
12/31/2015,0.0288,0.005,0.053,0.007,0.037517163,,,,,,,,,,,,,,
12/31/2016,0.0157,0.0075,0.0477,0.021,0.050976197,,,,,,,,,,,,,,
12/31/2017,0.0222,0.015,0.0413,0.021,0.253765062,,,,,,,,,,,,,, 
12/31/2018,0.0286,0.025,0.038,0.019,-0.013933263,,,,,,,,,,,,,, 
12/31/2019,0.023,0.0175,0.0353,0.023,0.291400356,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
